AMLSCode,AMLSName
ACCA,Association of Chartered Certified Accountants (ACCA)
AAT,Association of AccountingTechnicians (AAT)
AIA,Association of InternationalAccountants (AIA)
ATT,Association of TaxationTechnicians (ATT)
CILEx,Chartered Institute of Legal Executives (CILEx)
CIMA,Chartered Institute of Management Accountants (CIMA)
CIOT,Chartered Institute of Taxation (CIOT)
CLC,Council for Licensed Conveyancers (CLC)
DETINI,Department of Enterprise Trade and Investment Northern Ireland (DETINI)
FoA,Faculty of Advocates
FoAC,Faculty Office of the Archbishop of Canterbury
FCA,Financial Conduct Authority (FCA)
GC,Gambling Commission
GCB,General Council of the Bar
GCBNI,General Council of the Bar of Northern Ireland
HMRC,HM Revenue and Customs (HMRC)
IAB,International Association of Bookkeepers (IAB)
IPA,Insolvency Practitioners Association (IPA)
IS,Insolvency Service
ICB,Institute of Certified Bookkeepers
ICAEW,Institute of Chartered Accountants in England and Wales (ICAEW)
ICAI,Institute of Chartered Accountants in Ireland (ICAI)
ICAS,Institute of Chartered Accountants of Scotland (ICAS)
IFA,Institute of Financial Accountants (IFA)
LSNI,Law Society of Northern Ireland
LSS,Law Society of Scotland
SRA,Solicitors Regulation Authority (SRA)
